Dia;Mes;Ano;Hora;Velocidade;Direcao;Temperatura;Umidade;Pressao
30;11;2015;14;1.301.213.875;7.510.548.099;2.751.612.903;7.293.063.584;1.020.422.601
30;11;2015;15;1.272.608.696;6.833.433.228;2.723.809.524;7.521.212.121;1.020.394.348
30;11;2015;16;1.208.111.113;6.445.786.539;2.710.526.316;7.574.137.931;1.020.508.333
30;11;2015;17;1.164.722.224;5.384.209.995;2.630.555.556;7.530.263.158;1.020.611
30;11;2015;18;1.106.444.444;5.394.527.939;2.546.428.571;7.659.259.259;10.208.665
30;11;2015;19;1.032.444.445;5.132.071.363;2.476.470.588;8.334.444.444;10.212.865
30;11;2015;20;9.862.777.789;4.735.450.672;2.431.081.081;8.804.464.286;10.216.275
30;11;2015;21;9.598.888.869;4.181.610.784;2.430.434.783;9.132.967.033;1.021.892.333
30;11;2015;22;9.488.888.884;3.956.126.994;24.5;9.241.538.462;1.021.856.167
30;11;2015;23;7.502.222.217;3.788.153.749;2.441.935.484;9.362.962.963;1.021.834.667
1;12;2015;0;7.081.111.103;2.957.310.682;2.337.681.159;94.5;1.021.743.833
1;12;2015;1;8.003.333.415;3.407.861.467;24;9.467.391.304;1021.5
1;12;2015;2;8.149.444.466;3.441.920.359;2.352.631.579;9.551.351.351;1.021.352.333
1;12;2015;3;8.962.777.792;3.057.608.559;2.243.023.256;9.561.038.961;1.021.279.667
1;12;2015;4;7.672.777.804;2.864.172.603;225.862.069;9.655.172.414;1.021.657.833
1;12;2015;5;6.331.666.684;270.869.579;2.273.913.043;95.6;1.022.314.167
1;12;2015;6;4.587.179.497;2.799.001.078;2.296.402.878;9.406.944.444;1.022.913.228
1;12;2015;7;4.961.111.107;303.283.905;2.436.842.105;8.862.921.348;1.023.308
1;12;2015;8;565.944.445;3.162.701.131;2.571.551.724;7.983.116.883;1.023.572.667
1;12;2015;9;5.417.777.794;568.293.866;2.659.210.526;7.518.333.333;1.023.511.833
1;12;2015;10;7.303.910.604;1.074.608.054;2.454.411.765;8.808.536.585;1.011.850.559
1;12;2015;11;8.602.777.796;100.148.739;2.526.086.957;8.948.905.109;1.022.834.667
1;12;2015;12;1.170.611.108;9.010.603.101;25.416;8.555.555.556;10.221.265
1;12;2015;13;1.230.500.005;9.009.027.986;2.522.807.018;8.353.888.889;1.021.731.333
1;12;2015;14;1.208.722.222;9.261.931.312;2.524.096.386;8.729.444.444;1.021.406.833
1;12;2015;15;1.134.166.668;8.888.482.624;2.539.473.684;867.816.092;1.021.182.667
1;12;2015;16;1.069.388.894;8.930.043.627;2.529.411.765;8.968.888.889;1.021.194.333
1;12;2015;17;9.519.444.439;8.564.423.433;2.527.777.778;9.116.666.667;10.213.275
1;12;2015;18;894.000.002;8.396.390.568;2.537.837.838;913.125;10.216.315
1;12;2015;19;8.105.000.016;8.344.035.601;25.32;9.113.432.836;10.220.965
1;12;2015;20;7.637.777.779;8.486.768.253;2.523.809.524;9.102.752.294;10.225.755
1;12;2015;21;6.661.111.122;7.558.460.875;2.541.025.641;9.062.773.723;1.022.867.167
1;12;2015;22;4.801.111.111;6.393.569.425;2.523.333.333;9.050.555.556;1.022.854.333
1;12;2015;23;3.717.777.774;647.529.186;2.545.238.095;9.125.316.456;1.022.667.167
2;12;2015;0;2.141.666.657;3.613.960.931;2.433.613.445;9.195.454.545;1.022.361.333
2;12;2015;1;277.055.556;2.221.556.353;2.404.065.041;9.346.341.463;1.021.904.333
2;12;2015;2;2.749.444.438;3.557.453.278;24.16;9.356.470.588;1.021.741.667
2;12;2015;3;3.912.222.219;3.470.745.286;2.372.727.273;94.55;1.021.681.167
2;12;2015;4;5.532.222.231;3.401.293.724;2.365.714.286;9.456.521.739;1.021.642
2;12;2015;5;6.351.666.662;356.553.715;2.312.883.436;9.473.076.923;1.021.793.833
2;12;2015;6;4.577.777.776;3.391.515.688;230.625;9.388.888.889;1.022.242.333
2;12;2015;7;3.918.888.871;3.410.214.706;2.402.777.778;908.057.554;1.022.591.333
2;12;2015;8;4.281.111.113;7.925.447.043;2.530.555.556;8.104.666.667;1.022.650.667
2;12;2015;9;3.599.999.991;1.795.342.279;2.679.545.455;7.374.074.074;1.022.529.167
2;12;2015;10;3.905.555.554;9.469.520.791;2.666.666.667;7.699.295.775;1.022.345.833
2;12;2015;11;7.156.111.113;1.054.689.891;2.542.647.059;8.397.183.099;1.021.903.167
2;12;2015;12;8.167.222.222;103.251.064;2.596.581.197;7.894.444.444;1.021.442
2;12;2015;13;8.547.777.798;9.780.508.397;261.884.058;7.767.222.222;1.020.905.333
2;12;2015;14;9.712.222.205;9.002.163.331;2.626.190.476;7.905.555.556;1.020.306.167
2;12;2015;15;1.048.055.558;857.889.093;2.635.555.556;7.862.777.778;1.019.979.667
2;12;2015;16;1.028.333.334;8.126.108.621;2.627.027.027;7.838.888.889;10.198.445
2;12;2015;17;9.587.777.768;7.444.505.665;2.608.219.178;7.961.111.111;1.019.776.167
2;12;2015;18;9.037.777.797;6.943.840.729;2.618.333.333;792.752.809;1.019.852.833
2;12;2015;19;7.906.666.687;5.913.047.101;2.543.478.261;8.070.642.202;1.020.261.833
2;12;2015;20;7.552.222.284;5.684.459.412;2.509.876.543;8.283.505.155;1.020.658
2;12;2015;21;6.913.333.315;5.509.999.064;2.434.444.444;8.557.142.857;1.020.995.167
2;12;2015;22;6.856.666.679;5.946.221.562;24.3;8.722.413.793;1.020.971
2;12;2015;23;6.588.333.339;5.152.745.412;2.443.333.333;8.993.103.448;1.020.693.667
3;12;2015;0;6.380.555.564;5.457.042.113;2.409.615.385;9.123.076.923;1.020.326
3;12;2015;1;6.203.888.904;3.904.400.124;2.253.521.127;9.129.365.079;1.020.033.667
3;12;2015;2;6.588.888.878;2.463.981.894;2.252.380.952;9.334.615.385;10.199.255
3;12;2015;3;7.843.888.892;2.909.347.005;2.257.894.737;9.223.333.333;10.199.075
3;12;2015;4;8.235.555.543;2.722.294.391;2.252.941.176;9.136.111.111;1.019.923
3;12;2015;5;8.783.333.349;2.366.753.238;2.331.818.182;8.948.717.949;10.204.315
3;12;2015;6;6.128.333.334;1.070.876.456;2.259.756.098;8.903.305.785;1021.01
3;12;2015;7;3.190.555.557;3.537.603.146;2.267.222.222;9.004.918.033;1.021.428.833
3;12;2015;8;3.397.777.773;1.448.178.967;2.461.046.512;8.283.125;1.021.676.333
3;12;2015;9;4.286.111.106;7.319.028.047;2.629.411.765;7.769.230.769;10.214.735
3;12;2015;10;5.711.111.112;7.473.254.451;2.704.301.075;7.131.460.674;1.021.068.167
3;12;2015;11;7.795.000.031;9.217.982.633;264.375;7.830.555.556;10.205.475
