Dia	Mês	Ano	Hora	Velocidade 	Direção	Temperatura	Umidade 	Pressão
30	11	2015	14	13.01213875	75.10548099	27.51612903	72.93063584	1020.422601
30	11	2015	15	12.72608696	68.33433228	27.23809524	75.21212121	1020.394348
30	11	2015	16	12.08111113	64.45786539	27.10526316	75.74137931	1020.508333
30	11	2015	17	11.64722224	53.84209995	26.30555556	75.30263158	1020.611
30	11	2015	18	11.06444444	53.94527939	25.46428571	76.59259259	1020.8665
30	11	2015	19	10.32444445	51.32071363	24.76470588	83.34444444	1021.2865
30	11	2015	20	9.862777789	47.35450672	24.31081081	88.04464286	1021.6275
30	11	2015	21	9.598888869	41.81610784	24.30434783	91.32967033	1021.892333
30	11	2015	22	9.488888884	39.56126994	24.5	92.41538462	1021.856167
30	11	2015	23	7.502222217	37.88153749	24.41935484	93.62962963	1021.834667
1	12	2015	0	7.081111103	29.57310682	23.37681159	94.5	1021.743833
1	12	2015	1	8.003333415	34.07861467	24	94.67391304	1021.5
1	12	2015	2	8.149444466	34.41920359	23.52631579	95.51351351	1021.352333
1	12	2015	3	8.962777792	30.57608559	22.43023256	95.61038961	1021.279667
1	12	2015	4	7.672777804	28.64172603	22.5862069	96.55172414	1021.657833
1	12	2015	5	6.331666684	27.0869579	22.73913043	95.6	1022.314167
1	12	2015	6	4.587179497	27.99001078	22.96402878	94.06944444	1022.913228
1	12	2015	7	4.961111107	30.3283905	24.36842105	88.62921348	1023.308
1	12	2015	8	5.65944445	31.62701131	25.71551724	79.83116883	1023.572667
1	12	2015	9	5.417777794	56.8293866	26.59210526	75.18333333	1023.511833
1	12	2015	10	7.303910604	107.4608054	24.54411765	88.08536585	1011.850559
1	12	2015	11	8.602777796	100.148739	25.26086957	89.48905109	1022.834667
1	12	2015	12	11.70611108	90.10603101	25.416	85.55555556	1022.1265
1	12	2015	13	12.30500005	90.09027986	25.22807018	83.53888889	1021.731333
1	12	2015	14	12.08722222	92.61931312	25.24096386	87.29444444	1021.406833
1	12	2015	15	11.34166668	88.88482624	25.39473684	86.7816092	1021.182667
1	12	2015	16	10.69388894	89.30043627	25.29411765	89.68888889	1021.194333
1	12	2015	17	9.519444439	85.64423433	25.27777778	91.16666667	1021.3275
1	12	2015	18	8.94000002	83.96390568	25.37837838	91.3125	1021.6315
1	12	2015	19	8.105000016	83.44035601	25.32	91.13432836	1022.0965
1	12	2015	20	7.637777779	84.86768253	25.23809524	91.02752294	1022.5755
1	12	2015	21	6.661111122	75.58460875	25.41025641	90.62773723	1022.867167
1	12	2015	22	4.801111111	63.93569425	25.23333333	90.50555556	1022.854333
1	12	2015	23	3.717777774	64.7529186	25.45238095	91.25316456	1022.667167
2	12	2015	0	2.141666657	36.13960931	24.33613445	91.95454545	1022.361333
2	12	2015	1	2.77055556	22.21556353	24.04065041	93.46341463	1021.904333
2	12	2015	2	2.749444438	355.7453278	24.16	93.56470588	1021.741667
2	12	2015	3	3.912222219	347.0745286	23.72727273	94.55	1021.681167
2	12	2015	4	5.532222231	340.1293724	23.65714286	94.56521739	1021.642
2	12	2015	5	6.351666662	356.553715	23.12883436	94.73076923	1021.793833
2	12	2015	6	4.577777776	339.1515688	23.0625	93.88888889	1022.242333
2	12	2015	7	3.918888871	341.0214706	24.02777778	90.8057554	1022.591333
2	12	2015	8	4.281111113	7.925447043	25.30555556	81.04666667	1022.650667
2	12	2015	9	3.599999991	17.95342279	26.79545455	73.74074074	1022.529167
2	12	2015	10	3.905555554	94.69520791	26.66666667	76.99295775	1022.345833
2	12	2015	11	7.156111113	105.4689891	25.42647059	83.97183099	1021.903167
2	12	2015	12	8.167222222	103.251064	25.96581197	78.94444444	1021.442
2	12	2015	13	8.547777798	97.80508397	26.1884058	77.67222222	1020.905333
2	12	2015	14	9.712222205	90.02163331	26.26190476	79.05555556	1020.306167
2	12	2015	15	10.48055558	85.7889093	26.35555556	78.62777778	1019.979667
2	12	2015	16	10.28333334	81.26108621	26.27027027	78.38888889	1019.8445
2	12	2015	17	9.587777768	74.44505665	26.08219178	79.61111111	1019.776167
2	12	2015	18	9.037777797	69.43840729	26.18333333	79.2752809	1019.852833
2	12	2015	19	7.906666687	59.13047101	25.43478261	80.70642202	1020.261833
2	12	2015	20	7.552222284	56.84459412	25.09876543	82.83505155	1020.658
2	12	2015	21	6.913333315	55.09999064	24.34444444	85.57142857	1020.995167
2	12	2015	22	6.856666679	59.46221562	24.3	87.22413793	1020.971
2	12	2015	23	6.588333339	51.52745412	24.43333333	89.93103448	1020.693667
3	12	2015	0	6.380555564	54.57042113	24.09615385	91.23076923	1020.326
3	12	2015	1	6.203888904	39.04400124	22.53521127	91.29365079	1020.033667
3	12	2015	2	6.588888878	24.63981894	22.52380952	93.34615385	1019.9255
3	12	2015	3	7.843888892	29.09347005	22.57894737	92.23333333	1019.9075
3	12	2015	4	8.235555543	27.22294391	22.52941176	91.36111111	1019.923
3	12	2015	5	8.783333349	23.66753238	23.31818182	89.48717949	1020.4315
3	12	2015	6	6.128333334	10.70876456	22.59756098	89.03305785	1021.01
3	12	2015	7	3.190555557	353.7603146	22.67222222	90.04918033	1021.428833
3	12	2015	8	3.397777773	1.448178967	24.61046512	82.83125	1021.676333
3	12	2015	9	4.286111106	73.19028047	26.29411765	77.69230769	1021.4735
3	12	2015	10	5.711111112	74.73254451	27.04301075	71.31460674	1021.068167
3	12	2015	11	7.795000031	92.17982633	26.4375	78.30555556	1020.5475
3	12	2015	12	10.10166663	92.4645686	26.37313433	76.47777778	1019.826167
3	12	2015	13	12.19222224	88.92627521	25.8172043	77.87777778	1019.166333
3	12	2015	14	12.67666667	84.54670825	25.44966443	72.28888889	1018.596667
3	12	2015	15	12.94722222	82.38588252	25.04375	75.37777778	1018.172
3	12	2015	16	12.36166671	82.5839982	24.4939759	79.49444444	1018.194167
3	12	2015	17	10.5788889	79.39794609	24.16666667	82.39285714	1018.5085
3	12	2015	18	8.624999976	72.67965767	23.69784173	84.81547619	1018.878833
3	12	2015	19	8.648333348	64.62140637	23.38372093	86.7173913	1019.3275
3	12	2015	20	8.185555577	58.49107706	23.71153846	90.34532374	1019.725667
3	12	2015	21	8.362222224	49.58931543	23.82407407	90.94915254	1019.814167
3	12	2015	22	8.218888887	43.29494232	23.41666667	91.28125	1019.7095
3	12	2015	23	6.366111098	45.18134503	23.05479452	92.35714286	1019.541
4	12	2015	0	6.67944444	44.38394286	22.44578313	93.7260274	1019.371
4	12	2015	1	6.501111105	45.43602515	22.37719298	93.52941176	1019.182833
4	12	2015	2	5.751666681	38.39676461	23	93.6	1019.1625
4	12	2015	3	3.634444431	32.61624612	22.6369863	93.91111111	1019.343833
